eng,spa,source,otp
soul; spirit; metaphysical essence,,OPPOSITE OF body,mel
gland; organ; node; functional organic module {GENITIVE:glandular; nodal; bodily; internal},,cmn <腺> [ɕjɛn˥˩],cyen
"female; woman; animal biologically characterised by ovaries, vaginas and estrogen {GENITIVE:female}",,eng <female> [ˈfiːmeɪ̯ɫ],fimel
"male; man; animal biologically characterised by testicles, penises, and testosterone {GENITIVE:male}",,OPPOSITE OF female,supot
hair; fur; organically extruded strings {GENITIVE:pilar; hairy},,cmn <头发> [tʰoʊ̯˧˥fa],tof
face; front part of a head {GENITIVE:facial},,ben <মুখ> [mukʰ],muk
head; bulge on top of an animal containing many of its sensual and cognitive capabilities {GENITIVE:cranial; cephalic},,hin <सिर> [sir],sil
torso; trunk; stem; core; central base of a body {GENITIVE:torsal; basal},,ben <ধড়> [d̪̤ɔɽɔ],tol
arm; long appendage used for manipulation {GENITIVE:brachial; appendicular},,eng <arm> [ɑɹm],am
hand; multi-appendaged manipulator {GENITIVE:manual},,cmn <手> [ʂoʊ̯˧˩˧],coh
finger; toe; small manipulator attached to a hand or foot {GENITIVE:digital},,cmn <手指> [ʂoʊ̯˧˩˧ʈ͡ʂɨ˧˩˧],coc
buttocks; butt; bum; soft region between the back of an animal's legs and torso {GENITIVE:gluteal; posterial},,fil <pigi> [piɡi],pik
leg; appendage; long appendage used for transportation {GENITIVE:crural; appendicular},,eng <leg> [lɛɡ],lek
chest; breast; bosom; upper front surface of a torso {GENITIVE:chestal; mamillary},,spa <pecho> [ˈpet͡ʃo],pec
"claw; quill; fingernail; rigid, sharp, organic protrusion {GENITIVE:ungual; sharp}",,spa <garra> [ˈɡara],kal
"scale; squame; flake; rigid, external, organic plate used in array with others {GENITIVE:squamous; scaly}",*escama,cmn <鳞> [lin˧˥],lin
feather; plumage; rigid organic extension of a bird or dinosaur lined with hairs {GENITIVE:plumal; feathery; feathered},,jav <wulu> [wuɭu],ul
egg; first cell of a new organism {GENITIVE:ovary; eggy},,cmn <蛋> [tan˥˩],tan
seed; small courier of genetic information {GENITIVE:seminal},,hin <बीज> [biːd͡ʒ],pic
leaf; blade of grass; photosynthetic structure of a plant {GENITIVE:foliar; leafy},,spa <hoja> [ˈoxa],oh
fruit; seed-bearing structure of a flowering plant {GENITIVE:pomonal; fruity},,eng <fruit> [fɹʷuːt],fut
"climber; *vine; creeper; ivy; long, climbing plant",,epo <rebo> [ˈrebo],lep
tuber; enlarged nutrient-storing structure of a plant,,msa <ubi> [ubi],up
flower; pollen-bearing structure of a flowering plant {GENITIVE:floral},,hin <फूल> [pʰuːl],pul
root; underground component of a plant that gathers nutrients {GENITIVE:radical; rooted},,pan <ਰੂਟ> [ɾuʈ],lut
animal; meat; Animalia {GENITIVE:animal; meaty},,cmn <动物> [tʊŋ˥˩u˥˩],tun
plant; vegetable; Plantae {GENITIVE:botanical; vegetal},,cmn <植物> [ʈ͡ʂɨ˧˥u˥˩],ciuh
fungus; Fungi {GENITIVE:fungal; fungic; fungous},,cmn <菌> [t͡ɕyn˥],ciwn
primate; monkey; ape; Primates {GENITIVE:simian},,ono [u ki ki],ukik
rodent; treeshrew; rabbit; hare; pika; hedgehog; mole; shrew; Glires {GENITIVE:murine},,cmn <啮齿> [njɛ˥˩ʈ͡ʂʰɨ˧˩˧],nyec
feline; cat; kitten; Felidae {GENITIVE:feline},,ono [mjaw],myawf
canine; dog; wolf; dingo; fox; pup; cub; Canidae {GENITIVE:canine},,ono [baw waw wof],pawaf
bear; Ursidae {GENITIVE:ursine},,spa <oso> [ˈoso],os
seal; walrus; sea lion; Pinnipedia,,spa <sello> [ˈseʝo],seyoh
musteloid; red panda; skunk; *raccoon; coatis; kinkajou; olingo; olinguito; ringtail; cacomistle; weasel; badger; otter; marten; ferret; mink; stoat; wolverine; Musteloidea,,cmn <狸> [li],lih
equid; horse; zebra; pony; wild butt; Equidae {GENITIVE:equine},,ono [hi hin],hihin
tapir; Tapiridae,,spa <tapir> [taˈpir],tapil
rhinoceros; rhino; rhinocerotidae,,ben <গণ্ডার> [ɡɔndar],kontal
camelid; *camel; llama; alpaca; guanaco; Camelidae,,pan <ਊਠ> [uʈʰ],ut
suid; swine; boar; *pig; hog; piglet; pork; Suidae {GENITIVE:swine},,pan <ਸੂਰ> [suɾ],sul
giraffe; okapi; Giraffidae,,hin <जिराफ़> [d͡ʒiraːf],cilaf
bovid; cow; calf; beef; buffalo; antelope; sheep; lamb; mutton; goat; kid; Bovidae,,ono [muː],muf
hippopotamus; hippo; Hippopotamidae,,sot <holo> [holo],hol
cetacean; *whale; dolphin; porpoise; Cetacea,,cmn <鲸> [t͡ɕiŋ˥],cin
elephant; Elephantidae,elefante,ono [bjãː],pyah
opossum; Didelphimorphia,,fil <oposum> [oposum],oposum
koala; wombat; Vombatiformes,,epo <koalo> [koˈalo],koal
macropod; *kangaroo; wallaby; Macropodiformes,,cmn <袋鼠> [taɪ̯˥˩ʂu˧˩˧],tayc
mammal; Mammalia {GENITIVE:mammalian},,epo <mamulo> [maˈmulo],mamul
reptile; Reptilia {GENITIVE:reptilian},,spa <reptil> [repˈtil],leptil
bird; Aves {GENITIVE:avian},,ono [t͡ʃip t͡ʃip],cipcip
lizard; Lacertilia,,eng <lizard> [ˈlɪzɚd],lisat
snake; Serpentes,,ono [sː],sas
paleognath; *ostrich; emu; rhea; tinamou; kiwi; cassowary; Palaeognathae,,sot <lema> [lemɑ],lem
fowl; duck; swan; goose; chicken; turkey; pheasant; Galloanserae,,spa <ave> [ˈaβe],ap
chicken; chick; junglefowl; Gallus,,ono [kuk kurikoː],kukulik
turkey (bird); Meleagris,,ono [gululu],kululun
pigeon; dove; sandgrouse; mesite; Columbimorphae,,ben <পায়রা> [pae̯ra],payl
raptor; hawk; eagle; kite; vulture; condor; osprey; owl; falcon; bird of prey,,ono [kijɑː],kiah
crocodilian; *crocodile; alligator; Crocodilia,,nya <ng&#39;ona> [ŋona],non
turtle; tortoise; terrapin; Testudine,,cmn <龟> [kweɪ̯˥],kweh
frog; toad; Anura,,ono [kwak kwak],kwakwak
fish; pisces; ichthyes; Gnathostomata minus Tetrapoda {GENITIVE:pescous; aquatic},,spa <pez> [pes],pes
carp; koi; catfish; loach; minnow; herring; tetra; Cypriniformes,,eng <carp> [kʰɑɹp],kap
salmon; trout; pike; dragonfish; smelt; Protacanthopterygii,,spa <salmón> [salˈmon],salmon
mackerel; *tuna; tunny; Scombridae,,epo <tinuso> [tiˈnuso],tinus
shark; Selachimorpha,,msa <jerung> [d͡ʒeruŋ],celun
ray; manta ray; stingray; skate; sawfish; Batoidea,,eng <ray> [ɹʷeɪ̯],weh
bug; insect; arachnid; myriapod; entognath; small terrestrial invertebrate,,ben <জুজু> [d͡ʑud͡ʑu],cuc
tick; mite; Acari,,mar <टिक> [ʈik],tik
spider; Araneae,,cmn <蜘蛛> [ʈ͡ʂɨ˥ʈ͡ʂu˥],cic
scorpion; Scorpiones,,cmn <蝎> [xɤ˧˥],hawh
crustacean; *crab; lobster; crayfish; shrimp; prawn; krill; Crustacea,,eng <crab> [kʰɹʷæb],kwap
barnacle; copepod; Cirripedia,,yor <ọwọn> [ɔwɔ̃],owon
beetle; Coleoptera,,cmn <甲虫> [t͡ɕja˧˩˧ʈ͡ʂʰʊŋ˧˥],cyacun
mosquito; Culicidae,,ben <মশা> [mɔɕa],moc
fly; *housefly; gnat; midge; Muscidae,mosca; Muscidae,ono [ĩ̋ː],ihih
flea; Siphonaptera,,ben <মাছি> [mat͡ɕʰi],mac
butterfly; moths; Lepidoptera,,cmn <蝴蝶> [xu˧˥tjɛ˧˥],hutyeh
wasp; Apocrita minus Anthophilia and Formicidae,,ibo <wep> [wep],wep
ant; Formicidae,,cmn <蚂蚁> [ma˧˩˧i˧˩˧],maih
bee; Anthophilia,abeja; Anthophilia,ono [zum zum],sumsum
cricket; grasshopper; locust; tatydid; Orthoptera,,hin <झींगुर> [d͡ʒ̤iːŋɡur],cinkul
cockroach; roach; termite; Blattodea,,fil <ipis> [ipis],ipis
mantis; Mantodea,,spa <mantis> [ˈmantis],mantis
earwig; Dermaptera,,eng <earwig> [ˈɪɹwɪɡ],iawik
worm; long limbless invertebrate,,hin <कीड़ा> [kiːɽaː],kil
slug; land slug; shell-less terrestrial gastropod mollusc,,fil <kuhol> [kuhol],kuhol
nautilus; Nautilidae,,epo <naŭtilo> [nawˈtilo],nawtil
sea *anemone; Actiniaria,,epo <anemono> [aneˈmono],anemon
jellyfish; medusa; Medusozoa,,epo <meduzo> [meˈduzo],metus
mushroom; toadstool; superterranean fungus with a stem and cap,,cmn <蘑菇> [mwɔ˧˥ku],mwok
prokaryote; *bacterium; archaeon; cellular organism with no nucleus,,cmn <细菌> [ɕi˥˩t͡ɕyn˥],ciciwn
virus,,spa <virus> [ˈbiɾus],pilus
algae; moss; tiny clumping photosynthetic prokaryote,alga,spa <algas> [ˈalɣas],alkas
fern; Polypodiopsida,,spa <helecho> [eˈlet͡ʃo],elec
tree; tall woody plant structure,,mar <झाड> [d͡ʑ̤aːɖ],cat
grass; sedge; Poales,,hin <घास> [ɡ̤aːs],kas
cereal; *grain; cereal grain; grass cultivated for its edible seeds,,pan <ਅਨਾਜ> [ənɑd͡ʒ],anac
legume; pulse; *bean; pea; Fabaceae,,cmn <豆> [toʊ̯˥˩],toh
wheat; Triticum,,eng <wheat> [wiːt],wit
corn; maize; Zea mays,,spa <maíz> [maˈis],mais
rice; Oryza,,cmn <饭> [fan˥˩],fan
soy; soybean; soya bean; Glycine max,,spa <soja> [ˈsoxa],soh
barley; Hordeum,,pan <ਜੌਂ> [d͡ʒɔ̃],con
sorghum; great millet; milo; Sorghum bicolor,,hin <ज्वार> [d͡ʒvaːr],cwal
rapeseed; rape; canola; Brassica,,hin <कैनोला> [kæːnolaː],kanol
"millet; resilient, productive cereal crop",,spa <mijo> [ˈmixo],mih
cassava; manioc; yuca; macaxeira; mandioca; aipim; Manihot esculenta,,yor <ẹ̀gẹ́> [ɛ̀ɡɛ́],ek
chickpea; gram; garbanzo; Cicer arietinum,,eng <chick> [t͡ʃɪk],cik
oat; Avena,,mar <ओट> [oʈ],ot
pigeon pea; red gram; tropical green pea; gandule; Cajanus cajan,,mar <तूर> [tuːr],tul
guava; Psidium,,hin <अमरूद> [amruːd],amlut
apple; Malus,,hin <सेब> [seb],sep
beet; beetroot; sugar beet; chard; Beta,,epo <beto> [ˈbeto],pet
tomato; Solanum lycopersicum,,epo <tomato> [toˈmato],tomat
rye; Secale,,hin <राई> [raːiː],laih
citrus; Citrus,,msa <jeruk> [d͡ʒeruk],celuk
flax; linseed; linen; Linum,,cmn <亚麻> [ja˥˩ma˧˥],yam
pea; green pea; Pisum,,epo <pizo> [ˈpizo],pis
plum; *peach; cherry; apricot; Prunus minus Prunus dulcis,,hin <आड़ू> [aːɽuː],al
okra; ochro; ladies' fingers; Abelmoschus esculentus,,ibo <ọ́kụ̀rụ̀> [ɒ́kʊ̀ɹʊ̀],okul
"melon; any member of Cucurbitaceae with sweet, fleshy fruit",,cmn <瓜> [kwa˥],kwah
cucumber; gherkin; Cucumis sativus,,ben <শসা> [ɕɔs̪a],cos
squash; gourd; pumpkin; zucchini; Cucurbita,,sho <budzi> [bud͡zi],pus
almond; Prunus dulcis,,hin <बादाम> [baːdaːm],patam
onion; garlic; leek; scallion; Allium,,hin <प्याज> [pjaːd͡ʒ],pyac
cabbage; cauliflower; broccoli; kale; Brussels sprouts; collard greens; savoy; kohlrabi; gai lan; Brassica oleracea,,spa <col> [kol],kol
pear; Pyrus,,msa <pear> [pear],peal
coriander; cilantro; anise; star anise; badiane; fennel; Chinese parsley; Coriandrum,,ben <ধনে> [d̪̤ɔn̪e],ton
lettuce; chicory; Lactuca,,ben <লেটুস> [l̪etus̪],letus
walnut; Juglans,,spa <nuez> [nwes],nwes
cactus; Cactaceae,,spa <cactus> [ˈkaktus],kaktus
bulrush; reed; cattail; water sausage; Typha,,epo <tifao> [tiˈfao],tifaoh
machine; robot; automaton; artificial mechanical structure,,epo <maŝino> [maˈʃino],macin
computer; artificial device capable of arithmetic or logical operations {GENITIVE:digital; electronic; computerised},,xho <khomputha> [kʰɔmputʰa],komput
